	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
ASB6			0.009086208																										0.003541564	0.012627772
SPATA8																			0.01261611											0.01261611
CPM								0.002032635			0.006204757														0.004373916					0.012611308
JRK			0.000812588				0.011749347																							0.012561935
RBM41														6.29E-05			0.012455516													0.012518396
BCR									0.00057323										0.011922917											0.012496147
BTN2A1		0.00923662													0.000173452														0.003074274	0.012484347
NPNT														0.001257598					0.011091086											0.012348684
C2orf69															5.78E-05								0.009656652	0.002503852	9.21E-05					0.012310404
MKLN1															9.91E-05				0.012200194											0.012299309
PRTG									0.000764307					0.000412213	0.000189971			0.003408557									0.007516106			0.012291153
EIF4E3														0.000698666										0.01155624						0.012254906
PHACTR2															0.000726846			0.000940291	0.009427423						0.001135683					0.012230244
GABRA4														0.00018864	0.00064425	0.010911026									0.000414371					0.012158287
SLC30A8									0.00525461					0.001571997	0.00322125										0.002110223					0.01215808
PAX7								0.000169386							0.000247788				0.002495494									0.009242144		0.012154813
SETD1B														0.000342346													0.011811024			0.01215337
CACNA1A											0.010341262			0.001110878															0.000664043	0.012116183
TCOF1														0.000111786		0.011975517														0.012087303
ACVR1C														0.000139733				0.001410437	0.010536531											0.012086702
TAS2R20					0.011393514				0.000668769																					0.012062283
FUT10																												0.012014787		0.012014787
3-Sep														0.000181653													0.011811024			0.011992677
MTUS1			0.006279087												0.000123894				0.005545543											0.011948524
TRIM13														0.001034025	0.0012885										0.001841649				0.007771766	0.01193594
SEMA3E															0.000313865									0.01155624						0.011870106
TAC4										0.011854361																				0.011854361
KDM2B		0.010866612												0.000307413	0.000677289															0.011851314
PRKCZ																0.007806263													0.004033448	0.011839711
CLEC4M		0.006519967																											0.005312346	0.011832314
ACCSL																											0.011811024			0.011811024
ABLIM2			0.011080742											0.000712639																0.011793381
ELMOD3																		0.011753644												0.011753644
MAP7																		0.011753644												0.011753644
GSPT1														0.000335359	0.000817702			0.005994358	0.004575073											0.011722493
TMEM108														0.000572906	0.000330385				0.010813808											0.011717099
KCNAB2			0.011080742											0.000628799																0.011709541
SLC12A3			0.003324223													0.007717555									0.000667598					0.011709375
SPRY4				0.004567253											0.000198231									0.006933744						0.011699228
DLX4												0.011677696																		0.011677696
NAPB												0.011677696																		0.011677696
ITGA3												0.010509926																	0.001155927	0.011665853
ARPC4-TTLL3		0.011409943													7.43E-05														0.000172159	0.011656439
FLT3													0.0116189																	0.0116189
FYB														0.000461119	0.000173452									0.010978428						0.011613
SMAP2									0.010318143						0.000859										0.000337636					0.011514778
NFASC									0.006114455					0.000391253		0.004967622														0.011473329
NLRP4																											0.011453114			0.011453114
PDE10A									0.000620999					0.000384266	6.61E-05	0.001241905							0.009120172							0.011433419
GRB10														0.000391253	0.001057231	0.009935244														0.011383727
PDX1											0.011375388																			0.011375388
SLC25A22								0.011348879																						0.011348879
FKBP7																						0.011347518								0.011347518
PDGFB			0.004432297	0.006850879																										0.011283176
KIT													0.010844307		0.0004295															0.011273807
RAVER2																							0.011266094							0.011266094
MYO10												0.003892565			0.000107375			0.002938411									0.004294918			0.011233269
TMEM135															4.96E-05									0.011171032						0.01122059
PHF1		0.009779951																											0.001401869	0.01118182
TFCP2								0.011179493																						0.011179493
LMO3			0.008790722											0.000831412	0.00150325															0.011125384
HNF1B														0.000279466					0.010813808											0.011093275
NDUFS1			0.011080742																											0.011080742
AOX1																0.000887075												0.010166359		0.011053434
PHYHIPL																							0.009656652						0.001377275	0.011033927
ATXN1									0.00114646					0.000447146					0.009427423											0.011021029
ARHGEF38			0.00229002				0.006527415			0.002201524																				0.011018959
ZMPSTE24															0.000272567								0.010729614							0.011002181
NEO1																								0.010978428						0.010978428
PPAN-P2RY11		0.007063298																											0.003910477	0.010973775
LRTM2			0.003767452									0.007006617		0.00018864																0.010962709
PPFIA4												0.002335539			0.000338644												0.008231926			0.010906109
CCDC124												0.010899183																		0.010899183
MEGF11														9.78E-05										0.010785824						0.010883638
ANGPT2		0.007334963	0.002880993												0.000123894										0.000529474					0.010869324
GABRA3															0.000231269					0.010615711										0.010846981
KLHL3															0.000941596			0.009873061												0.010814657
NRXN3			0.004653912											0.00012576	0.001090269			0.00493653												0.010806471
PCSK1																0.002661226								0.008089368						0.010750594
PHLDB1																											0.010737294			0.010737294
COLQ														0.000440159					0.00873423										0.001549434	0.010723823
CDHR5			0.002659378									0.007590502		0.000461119																0.010710999
CCDC59												0.010704554																		0.010704554
C19orf66											0.010341262																		0.000344319	0.01068558
NIPA1									0.001050922					0.000223573				0.009402915												0.01067741
TTI1																	0.010676157													0.010676157
NCDN														0.00025152										0.010400616						0.010652136
ADARB1									0.000955384					2.79E-05									0.009656652							0.010639983
PEX19											0.010341262			0.000153706	0.000132154															0.010627122
ZNHIT6																								0.010400616	0.000214859					0.010615475
FPGT		0.009508286												0.000118773															0.000983768	0.010610827
SOGA3														3.49E-05	0.00021475				0.00291141										0.007427447	0.01058854
PPP1R12B														0.000286453	0.00259352	0.006032112									0.000713639				0.000934579	0.010560303
KCTD12									0.000525461		0.008790072			0.000153706		0.00106449														0.01053373
NUP43								0.007001299							0.000132154										0.000821068	0.002572584				0.010527105
DCX									0.003582688					0.000943198	0.001238942			0.004701457												0.010466287
PRDM1												0.005060335												0.005392912						0.010453247
DBT															9.09E-05			0.001763047							0.000314615		0.008231926			0.010400443
MXD1				0.010276319											0.000123894															0.010400213
ZFX		0.006248302							0.000812076																0.000230206				0.003074274	0.010364859
C1orf187											0.010341262																			0.010341262
PIM1													0.010327911																	0.010327911
NKX2-5		0.010323282																												0.010323282
ALG11		0.004889976								0.003556308				0.000111786															0.001746188	0.010304258
CYLD			0.003989067															0.005641749							0.000667598					0.010298414
FAM120C														6.99E-05										0.010208012						0.010277879
ZNF160																		0.009873061							0.00039135					0.010264411
ALOXE3																			0.010259254											0.010259254
SEMA6D										0.004741744				0.000349333	0.000346904														0.004820462	0.010258443
C9orf91				0.009591231																					0.000659924					0.010251155
BSDC1								0.007227147							0.000462539														0.002557796	0.010247482
SPPL3					0.009640666				0.000477692																0.00010743					0.010225787
ZFP1																							0.010193133							0.010193133
DMWD																												0.010166359		0.010166359
TNRC6B												0.005254963		0.001215678	0.001238942				0.002079579						0.000345309					0.010134471
FLT4	0.010130246																													0.010130246
GYG2												0.008758272			0.001362837															0.010121108
ANXA13										0.009822185					0.000297346															0.010119531
KRTAP3-2																					0.010115607									0.010115607
C18orf1																0.010112659														0.010112659
KCTD14														7.69E-05													0.010021475			0.010098328
GPR132															9.09E-05									0.009822804	0.000184165					0.010097825
PPP2R5A										0.009822185					0.000264308															0.010086492
PDPR				0.008906143										9.08E-05		0.00106449														0.01006146
